"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-01-04,3.54,163.6799927,-0.00540812153199666,4,NA
"2",1985-01-11,3.48,167.9100037,-0.00237653084013822,4,3.54
"3",1985-01-18,3.5,171.3200073,0.00345581687377727,4,3.48
"4",1985-01-25,3.26,177.3500061,0.00362174962217354,4,3.5
"5",1985-02-01,2.96,178.6300049,-0.00556699867907207,4,3.26
"6",1985-02-08,2.91,182.1900024,0.00203495261877062,4,2.96
"7",1985-02-15,2.88,181.6000061,-0.00444053277545109,4,2.91
"8",1985-02-22,2.97,179.3600006,-0.00460625888753519,4,2.88
"9",1985-03-01,3.05,183.2299957,0.0113147316624214,4,2.97
"10",1985-03-08,2.86,179.1000061,-0.00228393077021682,4,3.05
"11",1985-03-15,2.99,176.5299988,-0.00736615793553075,4,2.86
"12",1985-03-22,3.1,179.0399933,-0.00172853520744887,4,2.99
"13",1985-03-29,3.18,180.6600037,0.00623822235599913,4,3.1
"14",1985-04-12,3.21,180.5399933,0.00194234361140122,4,3.18
"15",1985-04-19,3.11,181.1100006,0.00149305632340369,4,3.21
"16",1985-04-26,3.24,182.1799927,-0.00681458894262932,4,3.11
"17",1985-05-03,3.28,180.0800018,0.00597736066630628,4,3.24
"18",1985-05-10,3.15,184.2799988,0.0129727386947609,4,3.28
"19",1985-05-17,3.14,187.4199982,0.00947966425145563,4,3.15
"20",1985-05-24,3.1,188.2899933,0.00367797002966075,4,3.14
"21",1985-05-31,2.96,189.5500031,0.00958723355525959,4,3.1
"22",1985-06-07,2.77,189.6799927,-0.00722288766531409,4,2.96
"23",1985-06-14,2.86,187.1000061,0.00955055459347665,4,2.77
"24",1985-06-21,3.05,189.6100006,0.0154233651064128,4,2.86
"25",1985-06-28,3.23,191.8500061,0.00324222357340154,4,3.05
"26",1985-07-05,3.02,192.5200043,0.00558896535558007,4,3.23
"27",1985-07-12,2.91,193.2899933,0.00181398826394963,4,3.02
"28",1985-07-19,2.92,195.1300049,0.00385842155105331,4,2.91
"29",1985-07-26,3.05,192.3999939,0.00177026087810384,4,2.92
"30",1985-08-02,3.09,191.4799957,-0.00327939668956523,4,3.05
"31",1985-08-09,3.08,188.3200073,-0.00333416041458545,4,3.09
"32",1985-08-16,3.01,186.1000061,-0.00619453398520742,4,3.08
"33",1985-08-23,2.85,187.1699982,-0.00101410332723917,4,3.01
"34",1985-08-30,2.87,188.6300049,-0.00158782518176648,4,2.85
"35",1985-09-06,2.92,188.2400055,0.00517969337174828,4,2.87
"36",1985-09-13,3,182.9100037,-0.00424627736844096,4,2.92
"37",1985-09-20,3.05,182.0500031,-0.00730681228193508,4,3
"38",1985-10-04,3.07,183.2200012,-0.00618355064162435,4,3.05
"39",1985-10-11,2.96,184.2799988,0.00820658720783407,4,3.07
"40",1985-10-18,2.78,187.0399933,-0.00330390273780012,4,2.96
"41",1985-10-25,2.7,187.5200043,-0.00519891618037127,4,2.78
"42",1985-11-01,2.63,191.5299988,0.00900848927530307,4,2.7
"43",1985-11-08,2.43,193.7200012,0.00571075759517559,3,2.63
"44",1985-11-15,2.29,198.1100006,-0.00477241540969453,3,2.43
"45",1985-11-22,2.21,201.5200043,0.000546152613967843,3,2.29
"46",1985-11-29,2.23,202.1699982,-0.00182677551219201,3,2.21
"47",1985-12-06,2.17,202.9900055,-0.00436530988135164,3,2.23
"48",1985-12-13,1.98,209.9400024,0.0155275323696047,3,2.17
"49",1985-12-20,1.8,210.9400024,0.00438052605067951,3,1.98
"50",1985-12-27,1.8,209.6100006,0.00943899233122014,3,1.8
"51",1986-01-03,1.76,210.8800049,0.00615491494237874,3,1.8
"52",1986-01-10,1.8,205.9600067,-0.000727737128539907,3,1.76
"53",1986-01-17,1.95,208.4299927,-0.00353781855126489,3,1.8
"54",1986-01-24,2.03,206.4299927,0.0106731588739291,3,1.95
"55",1986-01-31,1.88,211.7799988,0.0117039935935261,3,2.03
"56",1986-02-07,1.73,214.5599976,0.00510608700928783,3,1.88
"57",1986-02-14,1.54,219.7599945,0.0108555688418537,2,1.73
"58",1986-02-21,1.35,224.6199951,0.0108000804924844,2,1.54
"59",1986-02-28,1.02,226.9199982,0.000661436244458358,2,1.35
"60",1986-03-07,1,225.5700073,0.00195443694942155,2,1.02
"61",1986-03-14,0.93,236.5500031,0.0144088540049692,2,1
"62",1986-03-21,1.11,233.3399963,-0.0135283549955186,2,0.93
"63",1986-04-04,0.89,228.6900024,-0.0162601573557355,2,1.11
"64",1986-04-11,1.05,235.9700012,-0.00198782437501777,2,0.89
"65",1986-04-18,1.09,242.3800049,-0.00267454183931803,2,1.05
"66",1986-04-25,1.14,242.2899933,0.00111556480953245,2,1.09
"67",1986-05-02,1.15,234.7899933,-0.00157344103664858,2,1.14
"68",1986-05-09,1.22,237.8500061,0.00303631419526029,2,1.15
"69",1986-05-16,1.43,232.7599945,-0.00712365419102801,2,1.22
"70",1986-05-23,1.51,241.3500061,0.00512248469556953,2,1.43
"71",1986-05-30,1.45,247.3500061,-0.00254048556707831,2,1.51
"72",1986-06-06,1.61,245.6699982,8.14341563066812e-05,2,1.45
"73",1986-06-13,1.51,245.7299957,0.0175576218619118,2,1.61
"74",1986-06-20,1.34,247.5800018,0.014422700297527,2,1.51
"75",1986-06-27,1.19,249.6000061,0.00345742775984625,2,1.34
"76",1986-07-11,1.31,242.2200012,-0.00325086752759052,2,1.19
"77",1986-07-18,1.27,236.3600006,0.00122842076940133,2,1.31
"78",1986-07-25,1.32,240.2200012,0.00953983748507459,2,1.27
"79",1986-08-01,1.4,234.9100037,-0.00512447664369786,2,1.32
"80",1986-08-08,1.51,236.8800049,-0.000674942644794618,2,1.4
"81",1986-08-15,1.43,247.1499939,0.00365479756345177,2,1.51
"82",1986-08-22,1.4,250.1900024,0.00208276606620328,2,1.43
"83",1986-08-29,1.6,252.9299927,0.00035594210297818,2,1.4
"84",1986-09-05,1.82,250.4700012,-0.0132372082739354,3,1.6
"85",1986-09-12,2.12,230.6699982,-0.0191767779572688,3,1.82
"86",1986-09-19,2.24,232.2100067,-0.000430420132723541,3,2.12
"87",1986-09-26,2.14,232.2299957,0.00172537590861555,3,2.24
"88",1986-10-03,2.1,233.7100067,-0.000897706487756,3,2.14
"89",1986-10-10,2.12,235.4799957,-0.00156883778007255,3,2.1
"90",1986-10-17,2.19,238.8399963,-0.0028806517073301,3,2.12
"91",1986-10-24,2.08,238.2599945,-0.00426280635705178,3,2.19
"92",1986-10-31,2.05,243.9799957,0.00110782894660666,3,2.08
"93",1986-11-07,1.9,245.7700043,-0.000406681587801438,3,2.05
"94",1986-11-14,1.78,244.5,0.006090015940305,3,1.9
"95",1986-11-21,1.69,245.8600006,0.0157405389432115,3,1.78
"96",1986-11-28,1.6,249.2200012,0.00180888729437556,2,1.69
"97",1986-12-05,1.52,251.1699982,-0.00739011677803414,2,1.6
"98",1986-12-12,1.45,247.3500061,-0.00330415483719826,2,1.52
"99",1986-12-19,1.4,249.7299957,0.0119539545925307,2,1.45
"100",1986-12-26,1.37,246.9199982,0.000688949138804462,2,1.4
"101",1987-01-02,1.4,246.4499969,0.0176735298831909,2,1.37
"102",1987-01-09,1.44,258.730011,0.00563593053001843,2,1.4
"103",1987-01-16,1.57,266.2799988,0.00297566247000436,2,1.44
"104",1987-01-23,1.53,270.1000061,-0.0139096694116105,2,1.57
"105",1987-01-30,1.5,274.0799866,-0.000583443719799348,2,1.53
"106",1987-02-06,1.44,280.0400085,-0.003983479816692,2,1.5
"107",1987-02-13,1.39,279.7000122,0.0148030519285065,2,1.44
"108",1987-02-20,1.57,285.480011,-0.000315146190774329,2,1.39
"109",1987-02-27,1.61,284.2000122,0.00438231812711942,2,1.57
"110",1987-03-06,1.48,290.6600037,0.000481945151113106,2,1.61
"111",1987-03-13,1.38,289.8900146,-0.00456694799299395,2,1.48
"112",1987-03-20,1.49,298.1700134,0.0139078719612538,2,1.38
"113",1987-03-27,1.49,296.1300049,-0.0159505131307571,2,1.49
"114",1987-04-03,1.82,300.4100037,0.0230902792182597,3,1.49
"115",1987-04-10,1.91,292.4899902,-0.00126338598116993,3,1.82
"116",1987-04-24,2.58,281.519989,-0.0184785515832457,3,1.91
"117",1987-05-01,2.45,288.0299988,-0.00114435641804567,3,2.58
"118",1987-05-08,2.7,293.3699951,-0.00454683057462613,4,2.45
"119",1987-05-15,2.73,287.4299927,-0.0231443642156566,4,2.7
"120",1987-05-22,2.96,282.1600037,0.0071027954628351,4,2.73
"121",1987-05-29,2.69,290.1000061,-0.00226992597934628,4,2.96
"122",1987-06-05,2.69,293.4500122,-0.00555757267465185,4,2.69
"123",1987-06-12,2.77,301.6199951,0.00967423423688074,4,2.69
"124",1987-06-19,2.44,306.9700012,0.00418724456132225,3,2.77
"125",1987-06-26,2.32,307.1600037,-0.00582595756577109,3,2.44
"126",1987-07-10,2.53,308.3699951,0.0027640678017844,3,2.32
"127",1987-07-17,2.64,314.5899963,0.00604408067240869,4,2.53
"128",1987-07-24,2.66,309.269989,0.00474315782912704,4,2.64
"129",1987-07-31,2.47,318.6600037,0.00191798749693284,3,2.66
"130",1987-08-07,2.69,323,0.00282530879708665,4,2.47
"131",1987-08-14,2.54,333.9899902,-0.0019722208636801,3,2.69
"132",1987-08-21,2.47,335.8999939,0.00316568394371353,3,2.54
"133",1987-08-28,2.4,327.0400085,-0.0130967358797333,3,2.47
"134",1987-09-04,2.78,316.7000122,-0.010961492124458,4,2.4
"135",1987-09-11,2.83,321.980011,0.0152934317947282,4,2.78
"136",1987-09-18,2.86,314.8599854,-0.000222294800821587,4,2.83
"137",1987-09-25,2.73,320.1600037,0.00137621199283289,4,2.86
"138",1987-10-02,2.75,328.0700073,0.00226077881738451,4,2.73
"139",1987-10-09,2.9,311.0700073,-0.00983574090784245,4,2.75
"140",1987-10-16,2.86,282.7000122,-0.0515968031783318,4,2.9
"141",1987-10-23,3.46,248.2200012,-0.000120841087613233,4,2.86
"142",1987-10-30,3.56,251.7899933,0.0286799398483322,4,3.46
"143",1987-11-06,3.03,250.4100037,-0.0159933671360086,4,3.56
"144",1987-11-13,2.83,245.6399994,-0.0115886240550818,4,3.03
"145",1987-11-20,2.85,242,0.00812329462536043,4,2.83
"146",1987-11-27,3.03,240.3399963,-0.0154035629088007,4,2.85
"147",1987-12-04,3.39,223.9199982,-0.00572802478407808,4,3.03
"148",1987-12-11,3.09,235.3200073,0.00749240033097354,4,3.39
"149",1987-12-18,2.95,249.1600037,0.0254342254892057,4,3.09
"150",1988-01-08,2.79,243.3999939,-0.0676830463320709,4,2.95
"151",1988-01-15,2.84,252.0500031,0.0250935337442724,4,2.79
"152",1988-01-22,2.53,246.5,0.0138192013173133,3,2.84
"153",1988-01-29,2.46,257.0700073,0.0149236610209189,3,2.53
"154",1988-02-05,2.35,250.9600067,-0.00495618717256863,3,2.46
"155",1988-02-12,2.35,257.6300049,0.00656381332427358,3,2.35
"156",1988-02-19,2.39,261.6099854,0.0143460185604272,3,2.35
"157",1988-02-26,2.39,262.4599915,0.0033641904774071,3,2.39
"158",1988-03-04,2.37,267.2999878,-0.00216521236893563,3,2.39
"159",1988-03-11,2.41,264.9400024,0.00416921662911673,3,2.37
"160",1988-03-18,2.53,271.1199951,-0.000368726862169266,3,2.41
"161",1988-03-25,2.54,258.5100098,-0.018378569158499,3,2.53
"162",1988-04-08,2.44,269.4299927,0.0122858016025795,3,2.54
"163",1988-04-15,2.56,259.769989,7.69547641963353e-05,3,2.44
"164",1988-04-22,2.8,260.1400146,0.0145074526386402,4,2.56
"165",1988-04-29,2.73,261.3299866,-0.00487414367755434,4,2.8
"166",1988-05-06,2.58,257.480011,-0.0050620095713626,3,2.73
"167",1988-05-13,2.58,256.7799988,0.0115422203253592,3,2.58
"168",1988-05-20,2.73,253.0200043,0.0017816723561539,4,2.58
"169",1988-05-27,2.67,253.4199982,-0.00475201930925295,4,2.73
"170",1988-06-03,2.41,266.4500122,0.00422125525407924,3,2.67
"171",1988-06-10,2.32,271.2600098,0.00392301092575598,3,2.41
"172",1988-06-17,2.29,270.6799927,0.00337325772734487,3,2.32
"173",1988-06-24,2.23,273.7799988,-0.00378432600383671,3,2.29
"174",1988-07-01,2.08,271.7799988,-0.00628885265082268,3,2.23
"175",1988-07-08,2.15,270.019989,-0.00647586212293405,3,2.08
"176",1988-07-15,2.16,272.0499878,0.00662317004030544,3,2.15
"177",1988-07-22,2.19,263.5,-0.0118503099683261,3,2.16
"178",1988-07-29,1.96,272.019989,0.0225546960683469,3,2.19
"179",1988-08-05,1.92,271.1499939,-0.00286838091030472,3,1.96
"180",1988-08-12,2.05,262.5499878,-0.000761226260704073,3,1.92
"181",1988-08-19,2.09,260.2399902,-0.00302650501333857,3,2.05
"182",1988-08-26,1.92,259.6799927,0.00192916125504627,3,2.09
"183",1988-09-02,1.69,264.480011,0.0237275198577982,3,1.92
"184",1988-09-09,1.44,266.8399963,0.00361061900973358,2,1.69
"185",1988-09-16,1.52,270.6499939,0.00939838493994682,2,1.44
"186",1988-09-23,1.53,269.7600098,0.00215475561234002,2,1.52
"187",1988-09-30,1.45,271.9100037,-0.00249456182996399,2,1.53
"188",1988-10-07,1.33,278.0700073,0.0208524262842049,2,1.45
"189",1988-10-14,1.26,275.5,0.00101736355925852,2,1.33
"190",1988-10-21,1.15,283.6600037,0.00275734865133259,2,1.26
"191",1988-10-28,1.1,278.5299988,0.00450807849613999,2,1.15
"192",1988-11-04,1.09,276.3099976,-0.0103510547052907,2,1.1
"193",1988-11-11,1.08,267.9200134,-0.0210822059607685,2,1.09
"194",1988-11-18,0.8,266.4700012,0.00706725267154118,2,1.08
"195",1988-11-25,0.81,267.230011,-0.00657988475836435,2,0.8
"196",1988-12-02,0.89,271.8099976,-0.0024954773549698,2,0.81
"197",1988-12-09,0.79,277.0299988,0.00159081133043859,2,0.89
"198",1988-12-16,0.78,276.2900085,0.00732831306983361,2,0.79
"199",1988-12-23,0.69,277.8699951,0.00361180343734535,1,0.78
"200",1988-12-30,0.72,277.7200012,-0.00601285875690216,1,0.69
"201",1989-01-06,0.72,280.6700134,0.0023570714506651,1,0.72
"202",1989-01-13,0.63,283.8699951,0.00247194853577648,1,0.72
"203",1989-01-20,0.49,286.6300049,-0.000975911597327128,1,0.63
"204",1989-01-27,0.39,293.8200073,0.00730228969959357,1,0.49
"205",1989-02-03,0.32,296.9700012,0.000437962881082443,1,0.39
"206",1989-02-10,0.22,292.019989,-0.0136459117501525,1,0.32
"207",1989-02-17,0.39,296.7600098,0.00661447106907742,1,0.22
"208",1989-02-24,0.44,287.1300049,-0.0168463725578692,1,0.39
"209",1989-03-03,0.35,291.1799927,0.00424204327727917,1,0.44
"210",1989-03-10,0.31,292.8800049,-0.00357223769631321,1,0.35
"211",1989-03-17,0.29,292.6900024,-0.0225420783659465,1,0.31
"212",1989-03-31,0.04,294.8699951,0.00803365988093208,1,0.29
"213",1989-04-07,0.06,297.1600037,0.00633274119059801,1,0.04
"214",1989-04-14,0.26,301.3599854,0.0167341147168627,1,0.06
"215",1989-04-21,0.28,309.6099854,0.0111694796472559,1,0.26
"216",1989-04-28,0.25,309.6400146,0.00019390142321285,1,0.28
"217",1989-05-05,0.22,307.6099854,-0.000519880448772381,1,0.25
"218",1989-05-12,0.32,313.8399963,0.0224465998571477,1,0.22
"219",1989-05-19,0.19,321.2399902,0.0102839544223017,1,0.32
"220",1989-05-26,-0.08,321.5899963,0.00758211234890394,1,0.19
"221",1989-06-02,-0.27,325.519989,0.0110258340428269,1,-0.08
"222",1989-06-09,-0.18,326.6900024,-0.000183619280795688,1,-0.27
"223",1989-06-16,-0.16,321.3500061,0.00396781914886524,1,-0.18
"224",1989-06-23,-0.07,328,0.0176222157215122,1,-0.16
"225",1989-06-30,-0.17,317.980011,-0.00531776069450596,1,-0.07
"226",1989-07-07,0,324.9100037,0.0104494356320421,1,-0.17
"227",1989-07-14,-0.02,331.8399963,0.00572809222645021,1,0
"228",1989-07-21,-0.17,335.8999939,0.00716615402768062,1,-0.02
"229",1989-07-28,-0.28,342.1499939,0.000467860769569395,1,-0.17
"230",1989-08-04,-0.15,343.9200134,-0.00237853693597978,1,-0.28
"231",1989-08-11,-0.15,344.7399902,-0.0100789944005742,1,-0.15
"232",1989-08-18,-0.05,346.0299988,0.0045869837248913,1,-0.15
"233",1989-08-25,-0.03,350.519989,-0.00284478843676794,1,-0.05
"234",1989-09-01,0.08,353.730011,0.00648740566468531,1,-0.03
"235",1989-09-08,0.08,348.7600098,0.00117698777901643,1,0.08
"236",1989-09-15,0.27,345.0599976,0.00553675801233822,1,0.08
"237",1989-09-22,0.15,347.0499878,0.00390504932704183,1,0.27
"238",1989-09-29,0.2,349.1499939,0.00157770450480799,1,0.15
"239",1989-10-06,0.16,358.7799988,0.00507044735948514,1,0.2
"240",1989-10-13,0.08,333.6499939,-0.0611722890539534,1,0.16
"241",1989-10-20,0.23,347.1600037,8.64194957985731e-05,1,0.08
"242",1989-10-27,0.04,335.0599976,-0.00849286882489864,1,0.23
"243",1989-11-03,-0.12,337.6199951,-0.00254081739556555,1,0.04
"244",1989-11-10,-0.08,339.1000061,0.00751700610608741,1,-0.12
"245",1989-11-17,-0.07,341.6099854,0.00302424934090362,1,-0.08
"246",1989-11-24,-0.03,343.9700012,0.00602496995615098,1,-0.07
"247",1989-12-01,-0.04,350.6300049,0.0134108350860609,1,-0.03
"248",1989-12-08,-0.02,348.6900024,0.00316466558793205,1,-0.04
"249",1989-12-15,-0.08,350.1400146,-0.00225109884145858,1,-0.02
"250",1989-12-22,-0.07,347.4200134,0.00765709904631517,1,-0.08
"251",1989-12-29,-0.01,353.3999939,0.00778504119451462,1,-0.07
"252",1990-01-05,0.14,352.2000122,-0.00975623771829626,1,-0.01
"253",1990-01-12,0.27,339.9299927,-0.0246750814265919,1,0.14
"254",1990-01-19,0.27,339.1499939,0.002838615846676,1,0.27
"255",1990-01-26,0.42,325.7999878,-0.000858681340487943,1,0.27
"256",1990-02-02,0.45,330.9200134,0.00647831395399612,1,0.42
"257",1990-02-09,0.41,333.6199951,0.00198223094920991,1,0.45
"258",1990-02-16,0.47,332.7200012,-0.00647977934663679,1,0.41
"259",1990-02-23,0.58,324.1499939,-0.00475903666545818,1,0.47
"260",1990-03-02,0.48,335.5400085,0.00841503390775777,1,0.58
"261",1990-03-09,0.43,337.9299927,-0.00687688122857055,1,0.48
"262",1990-03-16,0.42,341.9100037,0.0113585834799963,1,0.43
"263",1990-03-23,0.34,337.2200012,0.00455777291269133,1,0.42
"264",1990-03-30,0.44,339.9400024,-0.00249422247953013,1,0.34
"265",1990-04-06,0.55,340.0799866,-0.00190774037805552,1,0.44
"266",1990-04-20,0.8,335.1199951,-0.00878464678784707,2,0.55
"267",1990-04-27,0.98,329.1099854,-0.011444274440246,2,0.8
"268",1990-05-04,0.9,338.3900146,0.00840363333627403,2,0.98
"269",1990-05-11,0.81,352,0.0237914970808042,2,0.9
"270",1990-05-18,0.74,354.6400146,0.000479627047209608,1,0.81
"271",1990-05-25,0.69,354.5799866,-0.0106861333681016,1,0.74
"272",1990-06-01,0.58,363.1600037,0.00534283598048013,1,0.69
"273",1990-06-08,0.5,358.7099915,-0.0122263595610101,1,0.58
"274",1990-06-15,0.48,362.9100037,2.75828056439664e-05,1,0.5
"275",1990-06-22,0.51,355.4299927,-0.0139817695875437,1,0.48
"276",1990-06-29,0.48,358.019989,0.00109046806659596,1,0.51
"277",1990-07-06,0.47,358.4200134,0.00770361211267545,1,0.48
"278",1990-07-13,0.54,367.3099976,0.00511710592085945,1,0.47
"279",1990-07-20,0.65,361.6099854,-0.0101555398715223,1,0.54
"280",1990-07-27,0.7,353.4400024,-0.00693996031109589,1,0.65
"281",1990-08-03,0.7,344.8599854,-0.0188347143303121,1,0.7
"282",1990-08-10,1.11,335.519989,-0.0130023338494865,2,0.7
"283",1990-08-17,1.02,327.8299866,-0.0137189079084928,2,1.11
"284",1990-08-24,1.13,311.5100098,0.0144923214836892,2,1.02
"285",1990-08-31,1.17,322.5599976,0.0120799667493323,2,1.13
"286",1990-09-07,1.23,323.3999939,0.00917431965918292,2,1.17
"287",1990-09-14,1.21,316.8299866,-0.00571161881324622,2,1.23
"288",1990-09-21,1.3,311.3200073,-0.000513688501186049,2,1.21
"289",1990-09-28,1.43,306.0499878,0.01687871409026,2,1.3
"290",1990-10-05,1.33,311.5,-0.00380569378894868,2,1.43
"291",1990-10-12,1.48,300.0299988,0.0154674319077817,2,1.33
"292",1990-10-19,1.3,312.480011,0.0220449434684387,2,1.48
"293",1990-10-26,1.21,304.7099915,-0.0176033196766791,2,1.3
"294",1990-11-02,1.3,311.8500061,0.015731930405352,2,1.21
"295",1990-11-09,1.23,313.7399902,0.0199278472447142,2,1.3
"296",1990-11-16,1.05,317.1199951,0.000315456764462763,2,1.23
"297",1990-11-23,1.01,315.1000061,-0.00294273551096824,2,1.05
"298",1990-11-30,1.02,322.2200012,0.0183300282990253,2,1.01
"299",1990-12-07,0.94,327.75,-0.00401132668039417,2,1.02
"300",1990-12-14,0.92,326.8200073,-0.00765163365613364,2,0.94
"301",1990-12-21,1.17,331.75,0.00493761336542575,2,0.92
"302",1990-12-28,1.47,328.7200012,0.00130979526902064,2,1.17
"303",1991-01-04,1.34,321,-0.00282688853884783,2,1.47
"304",1991-01-11,1.67,315.230011,0.00222558167001785,3,1.34
"305",1991-01-18,1.91,332.230011,0.0129890227289482,3,1.67
"306",1991-01-25,1.74,336.0700073,0.00385330218240032,3,1.91
"307",1991-02-01,1.66,343.0499878,-0.0025586744938747,3,1.74
"308",1991-02-08,1.71,359.3500061,0.00793789180779969,3,1.66
"309",1991-02-15,1.74,369.0599976,0.013288661754032,3,1.71
"310",1991-02-22,1.75,365.6499939,0.00186314682786048,3,1.74
"311",1991-03-01,1.78,370.4700012,0.00926252167810948,3,1.75
"312",1991-03-08,1.86,374.9500122,-0.0025537801350084,3,1.78
"313",1991-03-15,2.04,373.5899963,0.00024095394912993,3,1.86
"314",1991-03-22,2.12,367.480011,0.00245519240793168,3,2.04
"315",1991-04-05,2.1,375.3599854,-0.0116123014659802,3,2.12
"316",1991-04-12,2.27,380.3999939,0.00733519308332919,3,2.1
"317",1991-04-19,2.19,384.2000122,-0.010966327017489,3,2.27
"318",1991-04-26,2.26,379.019989,-0.000606489123269549,3,2.19
"319",1991-05-03,2.34,380.7999878,0.000735832040613227,3,2.26
"320",1991-05-10,2.4,375.7399902,-0.0195955898238747,3,2.34
"321",1991-05-17,2.49,372.3900146,0.000537392726054353,3,2.4
"322",1991-05-24,2.47,377.4899902,0.00674738307380185,3,2.49
"323",1991-05-31,2.42,389.8299866,0.00741677476494362,3,2.47
"324",1991-06-07,2.44,379.4299927,-0.0109480805629236,3,2.42
"325",1991-06-14,2.56,382.2900085,0.0123401306557565,3,2.44
"326",1991-06-21,2.55,377.75,0.00620634627040362,3,2.56
"327",1991-06-28,2.58,371.1600037,-0.0086538201196269,3,2.55
"328",1991-07-05,2.53,374.0799866,0.00200894658055839,3,2.58
"329",1991-07-12,2.58,380.25,0.00870095442491148,3,2.53
"330",1991-07-19,2.52,384.2200012,-0.0029841293162991,3,2.58
"331",1991-07-26,2.49,380.9299927,-7.87452768514774e-05,3,2.52
"332",1991-08-02,2.47,387.1799927,0.000154984502891642,3,2.49
"333",1991-08-09,2.41,387.1199951,-0.00565090968547299,3,2.47
"334",1991-08-16,2.42,385.5799866,-0.00963193211175073,3,2.41
"335",1991-08-23,2.42,394.1700134,0.00725737075421962,3,2.42
"336",1991-08-30,2.33,395.4299927,-0.00262317072376772,3,2.42
"337",1991-09-06,2.32,389.1000061,-0.000102812608570035,3,2.33
"338",1991-09-13,2.32,383.5899963,-0.00968141693556368,3,2.32
"339",1991-09-20,2.26,387.9200134,0.000928929203812157,3,2.32
"340",1991-09-27,2.23,385.8999939,-0.0015265500141276,3,2.26
"341",1991-10-04,2.23,381.25,-0.00837516890771661,3,2.23
"342",1991-10-11,2.32,381.4500122,0.00236506222271382,3,2.23
"343",1991-10-18,2.35,392.5,0.00147985961464037,3,2.32
"344",1991-10-25,2.5,384.2000122,-0.00225931670477308,3,2.35
"345",1991-11-01,2.53,391.3200073,-0.00287936008376055,3,2.5
"346",1991-11-08,2.67,392.8900146,-0.00210806308409617,4,2.53
"347",1991-11-15,2.61,382.6199951,-0.0365856704599588,4,2.67
"348",1991-11-22,2.76,376.1400146,-0.0103141162573117,4,2.61
"349",1991-11-29,2.91,375.2200012,-0.00353203198271357,4,2.76
"350",1991-12-06,2.81,379.1000061,0.00453109895292925,4,2.91
"351",1991-12-13,2.94,384.4700012,0.00765302972969994,4,2.81
"352",1991-12-20,2.99,387.0400085,0.0118164269318746,4,2.94
"353",1991-12-27,2.94,406.4599915,0.0040015690514914,4,2.99
"354",1992-01-03,2.82,419.3399963,0.00498486902925821,4,2.94
"355",1992-01-10,2.92,415.1000061,-0.00601034311379289,4,2.82
"356",1992-01-17,3.13,418.8599854,0.00155422852923404,4,2.92
"357",1992-01-24,3.27,415.480011,0.00125317985023132,4,3.13
"358",1992-01-31,3.32,408.7799988,-0.00689955865557512,4,3.27
"359",1992-02-07,3.33,411.0899963,-0.0065970976556019,4,3.32
"360",1992-02-14,3.45,412.480011,-0.00292487464763547,4,3.33
"361",1992-02-21,3.47,411.4299927,-0.00596762801740169,4,3.45
"362",1992-02-28,3.32,412.7000122,-0.0028028155437132,4,3.47
"363",1992-03-06,3.31,404.4400024,-0.00509214373593991,4,3.32
"364",1992-03-13,3.42,405.8399963,0.00482800175669418,4,3.31
"365",1992-03-20,3.47,411.2999878,0.00366032221731549,4,3.42
"366",1992-03-27,3.43,403.5,-0.0106899072134377,4,3.47
"367",1992-04-03,3.37,401.5499878,0.00262169238451926,4,3.43
"368",1992-04-10,3.51,404.2900085,0.00911040776504612,4,3.37
"369",1992-04-24,3.81,409.019989,-0.00626826302663641,4,3.51
"370",1992-05-01,3.8,412.5299988,-0.00583206007675352,4,3.81
"371",1992-05-08,3.79,416.0499878,0.0004808986342828,4,3.8
"372",1992-05-15,3.66,410.0899963,-0.00738252939007367,4,3.79
"373",1992-05-22,3.6,414.019989,0.00344154842221656,4,3.66
"374",1992-05-29,3.6,415.3500061,-0.00333537489246705,4,3.6
"375",1992-06-05,3.55,413.480011,0.000532355405272522,4,3.6
"376",1992-06-12,3.56,409.7600098,0.00173578296339461,4,3.55
"377",1992-06-19,3.52,403.6700134,0.00675883369276264,4,3.56
"378",1992-06-26,3.46,403.4500122,0.000818657233606412,4,3.52
"379",1992-07-10,3.62,414.6199951,0.000941467517185712,4,3.46
"380",1992-07-17,3.66,415.6199951,-0.00459839383271943,4,3.62
"381",1992-07-24,3.57,411.6000061,-0.00116477508155699,4,3.66
"382",1992-07-31,3.41,424.2099915,0.000684039655675317,4,3.57
"383",1992-08-07,3.41,418.8800049,-0.00406569679508084,4,3.41
"384",1992-08-14,3.34,419.9100037,0.00521866431090579,4,3.41
"385",1992-08-21,3.35,414.8500061,-0.00815283225769203,4,3.34
"386",1992-08-28,3.44,414.8399963,0.00316784152008664,4,3.35
"387",1992-09-04,3.36,417.0799866,-0.00215327139172694,4,3.44
"388",1992-09-11,3.35,419.5799866,-0.000881118202763154,4,3.36
"389",1992-09-18,3.43,422.9299927,0.00714404794168444,4,3.35
"390",1992-09-25,3.52,414.3500061,-0.00984537741817948,4,3.43
"391",1992-10-02,3.58,410.4700012,-0.0139806557475904,4,3.52
"392",1992-10-09,3.55,402.6600037,-0.0124831301042305,4,3.58
"393",1992-10-16,3.57,411.730011,0.00520020719794623,4,3.55
"394",1992-10-23,3.76,414.1000061,-0.0019281460876398,4,3.57
"395",1992-10-30,3.76,418.6799927,-0.00517985262468723,4,3.76
